,timestamp,trip_count,temp,pressure,wind_speed,rain_1h,humidity,clouds_all,Clear,Clouds,Drizzle,Fog,Haze,Mist,Rain,Smoke,Snow,Thunderstorm,is_weekend,is_holiday,trip_log,is_non_workday,hour,is_rushhour,is_day
132,2018-12-01 00:00:00,408,279.03,1011,3,0.3,75,32,0,0,0,0,0,0,1,0,0,0,1,0,6.013715156042802,1,0,0,0
133,2018-12-02 00:00:00,183,284.14,997,3,0.9,93,75,0,0,1,0,0,0,1,0,0,0,1,0,5.214935757608986,1,0,0,0
134,2018-12-03 00:00:00,181,285.81,998,6,0.0,82,75,0,1,0,0,0,0,0,0,0,0,0,0,5.204006687076795,0,0,0,0
135,2018-12-04 00:00:00,133,278.36,1012,3,0.0,81,0,1,0,0,0,0,0,0,0,0,0,0,0,4.897839799950911,0,0,0,0
136,2018-12-05 00:00:00,102,278.91,1022,3,0.3,87,40,0,0,0,0,0,0,1,0,0,0,0,0,4.634728988229636,0,0,0,0
137,2018-12-06 00:00:00,216,284.93,1011,5,0.0,82,90,0,1,0,0,0,0,0,0,0,0,0,0,5.37989735354046,0,0,0,0
138,2018-12-07 00:00:00,345,285.7,1011,4,0.30022760506322793,93,90,0,0,0,0,0,1,0,0,0,0,0,0,5.846438775057724,0,0,0,0
139,2018-12-08 00:00:00,395,280.39,1005,6,0.3,75,75,0,0,0,0,0,0,1,0,0,0,1,0,5.981414211254481,1,0,0,0
140,2018-12-09 00:00:00,389,281.92,998,8,0.0,76,75,0,1,0,0,0,0,0,0,0,0,1,0,5.966146739123692,1,0,0,0
141,2018-12-10 00:00:00,160,279.15,1022,3,0.0,75,12,0,1,0,0,0,0,0,0,0,0,0,0,5.081404364984463,0,0,0,0
142,2018-12-11 00:00:00,148,278.16,1028,2,0.0,93,44,0,1,0,0,0,0,0,0,0,0,0,0,5.003946305945459,0,0,0,0
143,2018-12-12 00:00:00,184,278.26,1023,3,0.3,93,90,0,0,0,0,1,1,1,0,0,0,0,0,5.220355825078325,0,0,0,0
144,2018-01-13 00:00:00,270,278.15,1023,3,0.0025071109118755437,81,90,0,0,0,0,0,1,0,0,0,0,1,0,5.602118820879701,1,0,0,0
145,2018-02-13 00:00:00,108,275.44,1011,4,0.3,91,40,0,0,0,0,0,0,1,0,0,0,0,0,4.6913478822291435,0,0,0,0
146,2018-03-13 00:00:00,101,279.49,998,5,0.3,87,90,0,0,1,0,0,0,1,0,0,0,0,0,4.624972813284271,0,0,0,0
147,2018-04-13 00:00:00,222,279.9,1003,2,0.9,93,90,0,0,0,0,1,1,1,0,0,0,0,0,5.407171771460119,0,0,0,0
148,2018-05-13 00:00:00,382,283.3,1012,3,0.3,93,40,0,0,0,0,0,0,1,0,0,0,1,0,5.948034989180646,1,0,0,0
149,2018-06-13 00:00:00,251,283.93,1020,1,0.0,71,0,1,0,0,0,0,0,0,0,0,0,0,0,5.529429087511423,0,0,0,0
150,2018-07-13 00:00:00,350,290.0,1022,4,0.0,82,75,0,1,0,0,0,0,0,0,0,0,0,0,5.860786223465865,0,0,0,0
151,2018-08-13 00:00:00,198,288.92,1006,1,0.3,93,75,0,0,0,0,0,0,1,0,0,0,0,0,5.293304824724492,0,0,0,0
152,2018-09-13 00:00:00,231,282.25,1024,1,8.108391101362265e-06,87,76,0,0,0,1,0,0,0,0,0,0,0,0,5.44673737166631,0,0,0,0
153,2018-10-13 00:00:00,539,292.45,1012,8,0.0,64,40,0,0,0,0,1,0,0,0,0,0,1,0,6.29156913955832,1,0,0,0
154,2018-11-13 00:00:00,125,282.81,1012,4,0.0,87,20,0,1,0,0,0,0,0,0,0,0,0,0,4.836281906951478,0,0,0,0
155,2018-12-13 00:00:00,269,276.14,1019,6,0.0,80,0,1,0,0,0,0,0,0,0,0,0,0,0,5.598421958998375,0,0,0,0
156,2018-01-14 00:00:00,304,277.37,1019,5,0.0,75,90,0,1,0,0,0,0,0,0,0,0,1,0,5.720311776607412,1,0,0,0
157,2018-02-14 00:00:00,111,275.36,1006,0,0.2997669959106263,93,75,0,0,1,0,0,1,0,0,0,0,0,0,4.718498871295094,0,0,0,0
158,2018-03-14 00:00:00,156,276.87,1011,2,0.0,75,0,0,0,0,0,0,1,0,0,0,0,0,0,5.056245805348308,0,0,0,0
159,2018-04-14 00:00:00,364,282.14,1014,2,4.132723480570624e-06,81,20,0,0,0,0,1,0,0,0,0,0,1,0,5.8998973535824915,1,0,0,0
160,2018-05-14 00:00:00,228,282.27,1018,2,0.0,87,24,0,1,0,0,0,0,0,0,0,0,0,0,5.43372200355424,0,0,0,0
161,2018-06-14 00:00:00,283,287.52,1015,5,0.0,82,76,0,1,0,0,0,0,0,0,0,0,0,0,5.648974238161206,0,0,0,0
162,2018-07-14 00:00:00,516,289.15,1022,3,0.0,72,20,0,1,0,0,0,0,0,0,0,0,1,0,6.248042874508429,1,0,0,0
163,2018-08-14 00:00:00,296,290.02,1012,2,0.0,77,0,1,0,0,0,0,0,0,0,0,0,0,0,5.6937321388027,0,0,0,0
