"system","ucl_id","operator_intid","operator_altid","operator_name","notes","lat","lon","initial_bikes","initial_size","curr_bikes","curr_size","created_dt","updated_dt","updated_dt_nonzerobikes","pedelec","operator_installflag","operator_lockflag","operator_tempflag"
"london","462","462","462","Bonny Street, Camden Town",,"51.541603","-0.138853","0","45","20","45","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","125","125","125","Borough High Street, The Borough",,"51.500695","-0.094524","11","21","2","21","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","92","0","0","Borough Road, Elephant & Castle","Added from csv snapshot file s5_20110201","51.498898","-0.100441","20","41","24","41","2010-08-06 01:00:00","2011-06-29 15:40:02","2011-02-01 00:00:00","0","1","0","0"
"london","92","92","92","Borough Road, Elephant &amp; Castle",,"51.498898","-0.100441","18","41","25","41","2011-08-16 12:12:53","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","45","45","45","Boston Place, Marylebone",,"51.522511","-0.162298","22","26","15","26","2015-01-12 21:14:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","137","137","137","Bourne Street, Belgravia",,"51.490875","-0.153320","0","16","9","16","2010-10-08 01:00:00","2016-08-09 13:18:02","2016-08-09 13:18:02","0","1","0","0"
"london","259","0","0","Bourne Street, Belgravia",,"51.490959","-0.153233","16","16","3","16","2019-03-04 10:38:03","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","259","259","259","Bourne Street, Belgravia",,"51.491495","-0.154005","2","16","16","16","2018-04-12 11:16:02","2019-03-04 10:36:03","2019-03-04 10:36:03","0","1","0","0"
"london","27","27","27","Bouverie Street, Temple",,"51.513821","-0.107928","16","18","8","33","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","495","495","495","Bow Church Station, Bow",,"51.528169","-0.018703","16","39","2","39","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","498","498","498","Bow Road Station, Bow",,"51.527058","-0.025296","10","42","5","42","2012-03-12 11:20:17","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","614","614","614","Bradmead, Battersea Park",,"51.478172","-0.144691","23","40","19","40","2015-05-21 15:26:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","614","614","614","Bradmead, Nine Elms",,"51.478172","-0.144691","19","40","24","40","2014-02-19 18:15:01","2015-05-21 15:24:01","2015-05-21 15:24:01","0","1","0","0"
"london","115","115","115","Braham Street, Aldgate",,"51.514234","-0.073538","5","34","26","34","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","219","219","219","Bramham Gardens, Earl's Court",,"51.490164","-0.190394","4","14","25","29","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","84","84","84","Breams Buildings, Holborn",,"51.515937","-0.111778","21","24","6","25","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","399","399","399","Brick Lane Market, Shoreditch",,"51.522618","-0.071654","1","22","8","24","2011-06-29 15:40:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","94","94","94","Bricklayers Arms, Borough",,"51.495061","-0.085814","13","28","6","28","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","730","730","730","Bridge Avenue, Hammersmith",,"51.492085","-0.229117","11","18","15","18","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","24","24","24","British Museum, Bloomsbury",,"51.519080","-0.124678","26","35","29","35","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","6","6","6","Broadcasting House, Marylebone",,"51.518118","-0.144229","18","18","1","18","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","759","759","759","Broadley Terrace, Marylebone",,"51.524562","-0.165669","14","18","2","18","2015-01-12 21:14:02","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","260","260","260","Broadwick Street, Soho",,"51.513685","-0.135581","18","18","12","18","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","484","484","484","Bromley High Street, Bow",,"51.528828","-0.013258","10","24","2","24","2015-05-21 15:04:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","484","484","484","Bromley High Street, Bromley",,"51.528828","-0.013258","19","24","10","24","2012-03-12 11:20:17","2015-05-21 15:02:01","2015-05-21 15:02:01","0","1","0","0"
"london","634","634","634","Brook Green South, Brook Green",,"51.494347","-0.215805","13","33","28","33","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","656","656","656","Broomhouse Lane, Parsons Green",,"51.468419","-0.199136","23","29","16","29","2014-02-19 18:15:01","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
"london","11","11","11","Brunswick Square, Bloomsbury",,"51.523951","-0.122502","15","24","8","24","2010-08-06 01:00:00","2020-02-14 17:38:02","2020-02-14 17:38:02","0","1","0","0"
