dt,dt_iso,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1515171600,2018-01-05 17:00:00 +0000 UTC,2643743,,,,279.06,278.15,280.15,995,,,75,5,250,0.3,,,,,,,,20,500,Rain,light rain,10n
1515175200,2018-01-05 18:00:00 +0000 UTC,2643743,,,,278.65,278.15,280.15,996,,,70,4,250,0.3,,,,,,,,92,500,Rain,light rain,10n
1515178800,2018-01-05 19:00:00 +0000 UTC,2643743,,,,277.65,276.15,278.15,997,,,80,2,270,,,,,,,,,75,803,Clouds,broken clouds,04n
1515182400,2018-01-05 20:00:00 +0000 UTC,2643743,,,,276.59,274.15,279.15,998,,,75,4,240,0.3,,,,,,,,92,500,Rain,light rain,10n
1515186000,2018-01-05 21:00:00 +0000 UTC,2643743,,,,276.34,274.15,279.15,998,,,75,2,230,0.3,,,,,,,,92,500,Rain,light rain,10n
1515189600,2018-01-05 22:00:00 +0000 UTC,2643743,,,,275.95,273.15,278.15,999,,,80,2,240,0.3,,,,,,,,92,500,Rain,light rain,10n
1515193200,2018-01-05 23:00:00 +0000 UTC,2643743,,,,276.04,275.15,278.15,1000,,,80,1,200,,,,,,,,,8,800,Clear,sky is clear,02n
1515196800,2018-01-06 00:00:00 +0000 UTC,2643743,,,,275.46,272.15,278.15,1000,,,80,1,0,0.3,,,,,,,,40,500,Rain,light rain,10n
1515196800,2018-01-06 00:00:00 +0000 UTC,2643743,,,,275.46,272.15,278.15,1000,,,80,1,0,0.3,,,,,,,,40,310,Drizzle,light intensity drizzle rain,09n
1515200400,2018-01-06 01:00:00 +0000 UTC,2643743,,,,275,272.15,278.15,1001,,,86,1,90,0.3,,,,,,,,20,500,Rain,light rain,10n
1515204000,2018-01-06 02:00:00 +0000 UTC,2643743,,,,275.23,273.15,278.15,1001,,,86,1,0,0.9,,,,,,,,0,501,Rain,moderate rain,10n
1515207600,2018-01-06 03:00:00 +0000 UTC,2643743,,,,274.8,272.15,277.15,1002,,,93,1,90,,,,,,,,,40,701,Mist,mist,50n
1515211200,2018-01-06 04:00:00 +0000 UTC,2643743,,,,274.24,272.15,277.15,1002,,,86,1,20,0.9,,,,,,,,0,701,Mist,mist,50n
1515211200,2018-01-06 04:00:00 +0000 UTC,2643743,,,,274.24,272.15,277.15,1002,,,86,1,20,0.9,,,,,,,,0,501,Rain,moderate rain,10n
1515214800,2018-01-06 05:00:00 +0000 UTC,2643743,,,,274.24,272.15,276.15,1003,,,93,1,340,,,,,,,,,0,701,Mist,mist,50n
1515218400,2018-01-06 06:00:00 +0000 UTC,2643743,,,,274.04,272.15,276.15,1004,,,93,0,0,0.3,,,,,,,,0,741,Fog,fog,50n
1515218400,2018-01-06 06:00:00 +0000 UTC,2643743,,,,274.04,272.15,276.15,1004,,,93,0,0,0.3,,,,,,,,0,701,Mist,mist,50n
1515218400,2018-01-06 06:00:00 +0000 UTC,2643743,,,,274.04,272.15,276.15,1004,,,93,0,0,0.3,,,,,,,,0,500,Rain,light rain,10n
1515222000,2018-01-06 07:00:00 +0000 UTC,2643743,,,,274.14,272.15,276.15,1005,,,86,1,0,,,,,,,,,0,701,Mist,mist,50n
